duracion_latencia_dias,absorbancia,concentracion_almidon_mg_por_g,peso_yema_mg,peso_fresco,peso_seco,porcentaje_humedad,zona_id,variedad_id,tratamiento_entrada_id,tratamiento_salida_id,chill_25_uta,chill_50_uta,chill_75_uta,chill_100_uta,chill_25_simple,chill_50_simple,chill_75_simple,chill_100_simple
128.0,,,,0.2308,0.1106999999999999,47.963604852686295,5,0,3,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
130.0,,,,0.5533,0.2563999999999999,46.340140972347726,5,0,4,12,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
131.0,,,,0.2951,0.1402,47.50931887495764,5,0,5,15,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
129.0,0.9944,21.271359663278112,200.4,0.4182999999999999,0.2320999999999999,55.48649294764523,5,0,3,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
127.0,0.9813,21.01087207957437,200.0,0.5016,0.2347,46.79027113237639,5,0,0,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
126.0,0.833,17.527800590825258,200.6,0.9247,0.4609,49.84319238672001,5,0,1,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
138.0,0.9047,19.18141019919653,200.6,0.4611999999999999,0.2298,49.82653946227234,5,0,5,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
131.0,1.1623,25.10989468850695,200.7,0.3283,0.1588999999999999,48.4008528784648,5,0,2,12,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
126.0,0.995,21.25339475149491,200.7,0.4914,0.2289999999999999,46.60154660154659,5,0,4,15,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
123.0,,,,0.3979,0.1889,47.47423975873337,5,0,3,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
127.0,,,,0.5845,0.2620999999999999,44.841745081266026,5,0,5,12,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
124.0,,,,0.4221,0.2016,47.76119402985074,5,0,1,15,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
129.0,,,,0.4146,0.1941,46.816208393632415,5,0,0,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
128.0,,,,0.4346,0.2064,47.49194661757939,5,0,4,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
131.0,,,,0.6751,0.3127999999999999,46.333876462746254,5,0,2,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
129.0,1.1628,25.15902730740231,200.4,0.4749,0.2337,49.21036007580543,5,0,4,12,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
125.0,1.0374,22.20864310924688,200.9,0.6098,0.2763,45.30993768448672,5,0,1,15,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
117.0,,,,0.6399,0.2996,46.8198155961869,7,0,2,15,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
134.0,,,,0.5719000000000001,0.2765000000000001,48.34761321909426,7,0,1,16,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
122.0,,,,0.3877,0.1837,47.38199638896055,7,0,0,12,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
131.0,,,,0.5924,0.2778,46.89399054692775,7,0,3,6,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
127.0,,,,0.4269999999999999,0.1997,46.768149882903984,7,0,4,12,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
129.0,,,,0.5058999999999999,0.2431,48.05297489622456,7,0,5,15,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
122.0,0.8419,17.706579932289426,200.9,0.661,0.3133,47.39788199697429,7,0,3,16,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
123.0,0.8938,18.93002463809128,200.6,0.738,0.3445,46.68021680216801,7,0,0,6,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
122.0,0.9676,20.652657211600395,200.4,0.4666,0.2241,48.02828975567939,7,0,1,16,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
131.0,1.2023,26.0319508599384,200.7,0.9856,0.4693,47.61566558441558,7,0,5,6,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
128.0,0.5523,11.076131825611354,200.2,0.6573,0.3072,46.736649931538096,7,0,2,12,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
115.0,1.1455,24.784375929414097,200.2,0.7345999999999999,0.3357,45.69833923223524,7,0,4,15,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
125.0,,,,0.5631,0.2686,47.70023086485528,7,0,3,16,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
129.0,,,,0.5904,0.2789999999999999,47.2560975609756,7,0,5,12,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
122.0,,,,0.5249999999999999,0.2481,47.25714285714287,7,0,1,15,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
134.0,,,,0.6117,0.2853,46.64051005394801,7,0,0,6,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
126.0,,,,0.7350000000000001,0.3394999999999999,46.190476190476176,7,0,4,6,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
127.0,,,,0.622,0.2825,45.41800643086816,7,0,2,16,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
122.0,0.9929,21.27920425630349,200.0,0.6207,0.2895999999999999,46.65700016110842,7,0,4,12,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
121.0,1.0613,22.85001380873292,200.1,0.4096000000000001,0.1916,46.77734374999999,7,0,1,15,459.5,867.5,1354.0,1671.0,388.0,850.0,1274.0,1532.0
125.0,,,,0.4756999999999999,0.2301999999999999,48.39184359890688,3,0,2,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
126.0,,,,0.536,0.2639999999999999,49.253731343283576,3,0,1,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
119.0,,,,0.4195,0.2033999999999999,48.48629320619785,3,0,0,12,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
131.0,,,,0.5403,0.2603,48.17693873773829,3,0,3,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
118.0,,,,0.6593,0.3087000000000001,46.82238738055514,3,0,4,12,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
123.0,,,,0.4272,0.2145,50.21067415730337,3,0,5,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
122.0,,,,0.4809,0.2364,49.15782907049283,3,0,3,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
129.0,,,,0.5286,0.2613999999999999,49.45138100643208,3,0,0,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
124.0,,,,0.8117,0.4006999999999999,49.36552913638043,3,0,1,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
126.0,,,,0.5666,0.275,48.53512177903284,3,0,5,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
122.0,,,,0.5331999999999999,0.2649999999999999,49.69992498124531,3,0,2,12,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
118.0,,,,0.4315,0.2138,49.54808806488992,3,0,4,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
124.0,,,,0.5216999999999999,0.2593,49.70289438374545,3,0,3,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
122.0,,,,0.3662999999999999,0.1805999999999999,49.3038493038493,3,0,5,12,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
118.0,,,,0.3636999999999999,0.1774,48.77646411877922,3,0,1,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
118.0,,,,0.5272,0.2562,48.596358118361145,3,0,0,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
126.0,,,,0.4277,0.2111,49.35702595277063,3,0,4,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
124.0,,,,0.4781999999999999,0.2341,48.95441237975742,3,0,2,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
123.0,,,,0.6075999999999999,0.2924,48.123765635286375,3,0,4,12,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
118.0,,,,0.7319,0.3560999999999999,48.65418773056428,3,0,1,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
123.0,,,,0.5118,0.2326,45.44744040640876,5,2,2,15,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
126.0,,,,0.5643,0.2563999999999999,45.4368243841928,5,2,1,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
123.0,,,,0.8068,0.3629,44.980168567178985,5,2,0,12,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
126.0,,,,0.8163,0.3793,46.46576013720446,5,2,3,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
122.0,,,,0.9458,0.4352,46.013956438993446,5,2,4,12,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
129.0,,,,0.519,0.2310999999999999,44.52793834296724,5,2,5,15,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
130.0,1.2906,27.96983686482386,201.4,0.7815000000000001,0.3470999999999999,44.41458733205374,5,2,3,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
126.0,1.3847,30.131434802553763,201.4,0.5855,0.2641,45.106746370623405,5,2,0,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
128.0,1.1702,25.29200078236466,200.7,0.7038,0.3292,46.774651889741406,5,2,1,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
130.0,1.1805,25.542156782024964,200.6,0.8033000000000001,0.3615,45.00186729739823,5,2,5,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
132.0,0.8186,17.187127035482217,200.7,0.7418,0.3395,45.76705311404692,5,2,2,12,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
121.0,1.2611,27.4283724939665,200.4,0.6938,0.3232,46.58402997982129,5,2,4,15,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
126.0,,,,0.6001000000000001,0.2712,45.192467922013,5,2,3,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
130.0,,,,0.5941,0.2707,45.56471974415083,5,2,5,12,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
124.0,,,,0.6573,0.6056999999999999,92.14970333181196,5,2,1,15,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
125.0,,,,0.8704,0.3944999999999999,45.32398897058823,5,2,0,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
127.0,,,,0.7796000000000001,0.3587,46.01077475628527,5,2,4,6,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
126.0,,,,0.5776,0.269,46.57202216066482,5,2,2,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
